,Prevalence
17,19.33635930963517
271,12.676339429051
508,17.35747883227834
431,14.96401730443336
897,16.699090733369477
1295,14.678487461124831
364,14.15268803111179
259,12.04643042516959
853,11.64695691483267
354,14.37482700073825
482,15.1759468511686
1018,18.36335289212731
972,10.74127429952492
1091,11.30642149542921
944,15.8646644164437
1245,17.170016147513408
805,13.28594758524092
1324,17.61463913990945
52,15.6875148030548
1216,15.325152722948602
331,11.308373992512449
1004,18.99888378509359
345,14.8448850851467
16,19.33652367122582
799,13.49517004893438
55,15.744869355640231
1322,17.8759296407604
1119,11.77447873002524
803,13.36977977542566
945,15.97824951204875
768,13.13752015281732
459,16.64263703714861
894,16.37752303063228
401,12.194628755419613
26,18.97665826149301
1038,11.11314670145662
720,14.855923146976268
1277,14.46346780037963
572,14.48070519585913
405,15.58033699479828
44,15.68387169978166
1296,14.6988103599247
647,17.16722632891004
756,10.63761004793776
1298,14.84635611318234
1128,11.645314553736313
985,10.50017571294149
368,14.19524456309234
1165,17.21289873873165
1232,16.88923702582554
791,13.798939796390847
1300,14.971830498735187
1294,14.70431884682103
880,16.599127143287628
1299,14.923651554547678
336,11.2231707409877
959,16.083554875436178
326,11.4027807907147
940,15.85590228317686
958,16.03261017658429
1014,18.65842276126514
255,11.34494251597796
402,16.27654464817957
946,16.07335745793376
192,15.41840602204852
699,14.4722576389101
697,14.46565072601111
887,16.12722945489156
263,12.55538685381858
65,14.69984954344416
325,11.42508280680465
681,14.47844392005703
1272,14.662471608888689
383,13.120828086661987
1122,11.69716476439685
1278,14.42569354909114
8,18.40686583321902
1123,11.68068249029219
43,15.69919205376498
739,10.7946665078798
429,14.8764639194901
484,15.20331861442762
1006,18.8122877174469
867,12.19323341979232
947,16.11412148435347
1023,11.1929740136102
979,10.5245710039917
438,16.85213563626286
934,16.11204891012144
478,14.93020922843274
692,14.82415249312376
324,11.458478541015127
1044,11.12238647806149
1198,15.423607819873968
846,11.052845856823849
776,12.699827722634598
321,11.57564641830302
320,11.59461236969489
980,10.527538729774651
1240,17.22741952325488
1000,18.932247953523028
538,11.42865787739725
750,10.7934419803376
511,17.443550542780038
360,14.10941177138004
267,12.596181993068509
1129,11.62601183415854
932,16.10470027492191
287,13.00157568131658
1289,14.89842362711514
371,14.20625575626099
933,16.10985324673884
455,16.68764502823954
474,14.7045664281976
678,14.815704485662
266,12.58064793244953
357,14.22034762087615
378,13.183354011814467
721,14.90113319709278
422,15.28034795423731
693,14.72406989219042
1197,15.423927969085142
273,12.73246926285182
961,15.98195094563085
680,14.53937066228982
1040,11.14321172127592
1028,11.25343540912551
1219,15.33185883815538
395,12.26713000758942
970,10.7604697502537
1226,17.34467752619864
1011,18.874463328218567
1229,17.25063574583126
948,16.09463857422362
1117,11.884222363404447
1019,18.46452406294501
659,17.46601863832189
1302,15.10066089950318
797,13.57399703866396
443,17.22574136960731
1118,11.82622318401744
724,15.053235060491192
784,12.621278955171991
256,11.66759383087869
408,15.32599184189091
1179,18.23638401947312
931,19.03663763196692
1005,18.89999306619726
646,17.18657736982933
1321,17.97099952293766
1121,11.71794039778149
409,15.32300553396648
1041,11.15386390393844
1010,18.84770818561687
503,17.614474998985568
977,10.53499326249093
688,14.55079994620628
1303,15.18797337902075
548,11.33784429027102
434,16.864251728070258
951,15.934041381970273
956,15.95335936840658
458,16.6408325589408
649,17.045910671846528
657,17.03822555540027
400,12.18310333718865
1279,14.39793113493725
1095,11.252758995518
759,10.60942316213795
537,11.43964623212209
793,13.80132413549168
968,10.76796994269648
1327,17.44979506443734
1274,14.62244356077476
1212,15.36037836661684
943,15.768928865516822
1166,17.15766700864619
974,10.66795508789173
1124,11.67097105135351
852,11.56369771016012
1288,14.90129778436019
878,16.61786394478987
154,13.78329399805073
418,14.93096733354701
1032,11.22144369497085
333,11.26547401557089
817,15.369802134626967
42,15.7161065753399
833,14.938750052765853
344,11.1397787524548
983,10.51748924519936
1307,15.15391105657848
1125,11.66455163920498
1271,14.68197458588652
1092,11.29118109492914
164,14.93005541491442
859,12.07143344323404
416,14.94440667556311
870,12.25821759139892
1024,11.20820227553745
747,11.009878898701771
849,11.22207311846099
1185,18.71925695479332
382,13.17087578854978
665,17.70379116464728
670,17.60945354268606
1126,11.65927835571533
393,12.34377398477802
4,18.69588489642135
971,10.75146765108279
1206,15.455169706084687
936,16.10816593180634
1097,11.22158441685783
839,14.897697394973012
1084,11.4745791009246
1017,18.28341670946011
167,14.95610293601228
1086,11.42988558929114
869,12.25237774524687
684,14.40677175148028
790,13.74919830783749
54,15.731147891559468
39,15.79446314018918
374,14.09613885123937
278,12.82676866756404
27,18.96159235184795
1187,18.80417382149434
406,15.436730130801598
777,12.67339372325523
651,16.95848974424952
469,14.54918242623086
696,14.46972007345221
1008,18.78960567767208
664,17.72000732312193
893,16.24671111971113
786,12.61688961073591
282,12.90857714023913
74,14.76735320743968
758,10.62721248171778
976,10.56306201778598
272,12.7031372037353
1306,15.21976681423001
808,13.270174667954027
76,14.831216497507372
14,19.20550544142387
330,11.3278981003581
47,15.65592114339282
780,12.64753732239689
652,16.95475355793448
361,14.09830564106119
1127,11.65511252979409
392,12.38816188176118
1193,15.397256148821588
59,15.81647796167553
527,11.7916087750643
1112,12.09320522376202
1078,11.56414313333784
1083,11.49406797691995
476,14.86430996672287
1035,11.14938821957768
427,14.98095161480428
1085,11.45502998762179
748,10.94667113181298
742,10.92085186232737
1336,16.47489358363504
445,17.19453666998086
377,13.181730275581192
335,11.23534919648173
851,11.46515264238242
1088,11.37121989121965
679,14.66753207688166
1036,11.12994569875879
764,13.21118324380062
1170,16.82822871311571
194,15.36739203731108
861,12.2243912147507
662,17.76053907559766
1,18.70303666294613
1246,17.17556664139138
857,11.94026271475562
149,13.9675130033215
381,13.18849751105553
41,15.734339981790068
1174,17.199413754487168
796,13.62004757875734
710,14.68228047549106
741,10.88966338191017
574,14.540102763627468
160,14.71620589543865
529,11.68751876483733
860,12.15489132651571
535,11.48219512990107
1175,17.31036692327345
417,14.89395493760283
13,18.96608915832132
501,17.54599959789083
901,16.59894376284065
660,17.66448346705595
449,17.02408199213527
340,11.17610817893399
1247,17.17619298774976
1332,17.000684307177067
975,10.61244411106466
1225,17.36314287121159
772,12.90333739335148
1320,17.9974480204406
792,13.82112153734561
1238,16.94437035489394
419,15.026315111420413
862,12.261417603013747
858,11.99381112756715
1020,18.4731976471389
363,14.128454025909228
1181,18.45373898292745
1033,11.20278491136892
763,13.2280048765662
1015,18.48672875770555
798,13.535587371549571
70,14.66264775066202
762,13.238981322574562
856,11.89145900842422
1286,14.90320576992252
1111,12.1281688659205
428,14.928202210838329
21,19.25274013068823
499,17.00451646845264
746,11.032844031489027
334,11.24742464181322
452,16.78829287646037
365,14.16180242143559
658,17.23641596291909
1207,15.43695760083641
691,14.87465643467293
779,12.6497224604813
533,11.53798980665845
1168,16.95183594867825
489,15.10134299303032
990,10.50271166174363
274,12.75482578557935
997,18.60933402642812
1301,15.02006760194566
168,14.95313317879026
580,14.60112474364376
156,13.84030747828609
745,11.01920068569735
516,17.02908577281518
390,12.50335929546928
753,10.69725844494188
265,12.567875733318502
938,16.062076962707682
20,19.29116595095266
1034,11.17619702105274
83,15.0204902966791
195,15.355107027864127
446,17.17470848559739
1290,14.89019815539482
718,14.72859686554514
191,15.4403957832664
